1rudster,0
a.lynne,0
aae43,0
ab3525,0
adam,0
adam.cho,0
adb95,0
agent.thundersnow,0
ajkalesnik,0
alex,0
alex.varsik,0
alexiscarlsson,0
alyssa,27556.503
amy,0
andicat,0
angelabuchanan,9989.379
applab,11005.1
ar88,0
arb354,0
asl95,0
astutzman,0
aulin,0
baopham,47.0
bjc,0
brandon_morton,0
brendanluu,0
bria,0
brianlee389,0
bsmith,0
bwiggin,0
cac398,0
cdk,0
cfb43,0
charlesburnett,0
chelseak,0
christalee,0
chris_sims,0
crf65,0
dagmawi.m,0
danielc,0
danschoepflin,0
dansilva,0
dave_petersen,0
davidd,0
dee,0
dennis,0
destiniking,0
devria75,0
dmartini23,0
dmiyoshi,0
drewbanin,0
drosen9,177.0
dtercho1,0
dukeim,0
eamon,0
egankd,0
eh474,1388.0
ejc323,0
ejf67,0
ekm42,0
em656,0
emilykashka,2638.0
eom28,0
erin.truesdell,708.304
ethanriback,0
excitecenter,0
excitecivic,1115.0
excitedesk,0
eyobmoges,0
fc328,0
fjl,1267.0
frauenpreis,0
frufru,0
gabbygetz,0
gad39,0
gasmoney,0
gmoore52,0
gray,0
harrison.katz,0
hchong,0
heather,0
howlz,0
ibukun_fatoki,0
inaki.crespo,0
jakecarfagno,0
james.k.kerr,0
jamesb,0
jasonsilverman,0
jdy25,0
jeffmostyn,0
jemiller698,0
jenna.schabs,0
jenstanford,0
jerin,0
jessicaeng,0
jferroni,0
jfgl4,0
jgregorio,501.0
jillian,0
jimmie,0
jjf98,0
jjm457,1812.211
jkoshy,0
jm3393,0
johnbuccieri,0
jons,0
josephsantos,0
josepvalls,0
jsm76,0
jstanford,0
jta55,0
jtc95,0
justinr,0
k8,0
kac459,0
kara,2400.32
katemedrano,0
kayagentile,82.0
keano,0
keco185,0
keith_t,0
kendall,0
ker329,0
kevin.brady,0
kjablonowski,0
kraigfujii,0
kristine.loh,0
laallen,0
laura,0
lauramo,0
laurenkirk,0
lcschultz,0
leshe,0
lgeary,0
lilylauben,0
lizgibbons,0
lizmoroz,0
manberry205,0
mannika19,0
maren,0
maria,0
mariakadieva,0
markkohdev,0
mascat,0
matt,2820.155
mattb,0
matthew_seidman,0
mcn46,42322.0
meenchul.kim,0
meleey,0
merlincherian,0
mgulati,0
mica.storer,0
michaelrodriguez,0
michaelt,0
mikeyt,0
mike_caro,0
mike_koerner,0
miriamdance,0
mjd453,0
mmulhern,0
mnvk,0
mprockup,1396.0
mpw258,0
mtg59,0
mycin,37.727
nataliecl55,0
natty,0
neblix,0
nfarnesi,0
nickjvfx,0
nirvaan95,0
njb92,0
noah,0
noahmarsha11,0
noel,0
osato,0
patrickbastian,0
patricknielson,0
perth,0
petedecarlo,0
rachel.lerch,0
rburkins12,0
rdebold,0
ricardotnet,0
ritat,0
rjvallett,10.0
robertfernandez,6605.673
rswitalski,0
ryan_mcmahon,0
ryan_young,0
sabir,0
sammyp,0
sb939,0
shaun_barry,0
shivanthi,0
shubrast27,443.0
silfies,0
sjamesparsonsjr,0
sr665,0
srandrieux,0
srwint,0
sshetzline,2252.0
stevenrng,0
stevie_matthews,0
stoddard,80.458
stolton,22.575
strank,0
sukrit.chhabra,0
tajbrown,0
tang.justin,0
tauheed_baukman,0
tday,2765.31
tejas4197,0
thisistheaj,0
thomaspark,0
thomas_michel,0
tj,675.808
tlf73,0
tom,0
tonyrowe,0
travisc,0
tristanleung,0
ttingting,0
vem35,5560.0
victor_guillermo,0
vincentoleary,0
vincenzo,0
vinceq,0
vkhurana,0
wiktoria_gocal,0
ylm23,0
youngmoo,1791.34
yuanglee,0
yuri,0
zac,0
zbarbezat,0
slackbot,0
